bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement
2,1,770,10000,1,0,0,3,770,0
3,1,1430,19901,1.5,0,0,4,1430,0
4,2.25,2590,10002,1,0,0,4,1340,1250
4,2.75,3820,26300,2,0,0,3,2850,970
3,3,2420,13959,1,0,0,4,1740,680
2,1,1220,10000,1,0,0,5,1220,0
3,2.25,2590,9263,1,0,0,5,1440,1150
3,2.5,2830,5802,2,0,0,3,2830,0
3,1.5,1300,8280,1,0,0,5,1300,0
4,2.5,2320,5493,2,0,0,3,2320,0
4,3.5,3100,15842,2,0,0,3,2400,700
3,2.5,2690,11575,1,0,3,3,2130,560
5,2.75,3740,6750,1,0,0,4,1980,1760
3,2.5,2170,4912,2,0,0,3,2170,0
4,1.75,2390,23899,1,0,0,3,1750,640
3,1.75,1650,12940,1,0,0,4,1650,0
4,2.25,2350,18600,2,0,0,4,2350,0
4,2.5,2403,6172,2,0,0,3,2403,0
4,2.5,2460,4862,2,0,0,3,2460,0
3,1.5,1300,12240,1,0,0,3,1300,0
3,2.25,2350,10450,1,0,0,3,1390,960
4,2.5,2440,28405,2,0,0,3,2440,0
3,1,1160,36831,1,0,0,3,1160,0
3,1,1240,6195,1,0,0,3,1240,0
3,2.5,2760,11287,2,0,3,3,2000,760
3,1,2400,17239,1,0,0,4,1890,510
3,1,1190,10350,1,0,0,4,1190,0
3,2.25,1880,12473,1,0,0,3,1420,460
3,2.5,1970,9153,2,0,0,3,1970,0
4,2.5,3060,7920,1,0,0,3,1810,1250
5,2.5,2650,12987,1,0,0,4,1350,1300
3,2.75,3200,12682,2,0,1,3,3200,0
4,3,2760,13113,1,0,0,4,1760,1000
3,1,1320,11457,1,0,0,3,1320,0
3,2.75,2460,6413,2,0,0,3,2460,0
4,4.25,3770,13058,2,0,0,4,3770,0
4,1.75,1570,9670,1,0,0,3,1170,400
3,2.75,2650,12350,1,0,0,4,1470,1180
3,1.75,2110,10454,1,0,0,4,1440,670
3,2.75,2010,11200,1,0,0,3,1360,650
6,2,2400,7684,1,0,0,3,1200,1200
4,1.75,1370,9993,1,0,0,3,1370,0
4,2.25,2550,10000,1,0,0,4,1560,990
3,1.75,1460,9998,1,0,0,3,960,500
4,2.75,2200,9676,1,0,0,3,1500,700
4,2.5,3010,11393,2,0,0,3,3010,0
3,2.5,2540,11562,1,0,1,3,1290,1250
5,1.5,1750,9780,1.5,0,0,4,1750,0
4,2.25,2100,9984,1,0,0,4,1290,810
3,1,980,9903,1,0,0,4,980,0
3,1.75,1770,10513,1,0,0,4,1400,370
3,2.5,1720,10031,2,0,0,3,1720,0
4,1.75,1690,8392,1,0,0,3,1190,500
5,1.75,2460,14100,1,0,0,3,1380,1080
4,1.75,2190,9225,1,0,0,4,1250,940
5,2.75,2840,12253,1,0,0,3,1420,1420
3,2,2360,5737,2,0,0,3,2360,0
4,1.75,1400,11934,1,0,0,3,1050,350
6,3,3470,117612,1.5,0,0,3,3470,0
3,1,1050,9876,1,0,0,3,1050,0
3,2.75,1950,12240,1,0,0,3,1250,700
4,3.25,4110,14219,2,0,2,4,2570,1540
4,2.75,2900,5803,2,0,0,3,2900,0
3,2.25,3420,9900,1,0,0,3,1710,1710
3,2.5,1920,9812,2,0,0,3,1920,0
4,1.75,1910,8775,1,0,0,3,1210,700
3,1.5,1480,7117,1,0,0,3,1170,310
4,2.5,2160,9750,2,0,0,3,2160,0
4,2.5,2280,8798,2,0,0,4,2280,0
3,1.75,2160,8565,1,0,0,3,1730,430
4,3,2450,4668,2,0,0,3,2450,0
2,1,950,11835,1,0,0,3,950,0
3,2.25,1180,9630,2,0,0,3,1180,0
3,2.75,2080,9600,1,0,0,3,2080,0
4,2.5,1850,9248,2,0,0,3,1850,0
3,1,970,12300,1,0,0,3,970,0
3,2.5,2240,10800,2,0,0,3,2240,0
3,1.75,1540,61419,1,0,0,3,1540,0
2,2,1384,1822,2,0,0,3,1384,0
3,1.75,1530,10731,1,0,0,3,1530,0
5,2,1760,21562,1,0,1,3,1560,200
5,2,1760,21562,1,0,1,3,1560,200
4,3,1830,9548,2,0,0,3,1830,0
2,1.75,1315,2162,2,0,0,4,1315,0
4,2.5,2320,7800,2,0,0,3,2320,0
3,2.5,2150,9266,2,0,0,3,2150,0
3,2,1920,7200,1,0,0,3,1300,620
4,1.5,1830,6985,1,0,0,3,1080,750
4,2.5,2650,9627,1,0,3,4,1610,1040
2,2.25,1660,2128,2,0,0,4,1660,0
4,2.5,2480,9869,1,0,0,4,1240,1240
3,1.75,2220,11646,1,0,0,3,1270,950
3,2.25,1800,9800,1,0,0,4,1300,500
3,3,1850,9600,1,0,0,3,1230,620
4,2.25,2940,48788,1,0,0,5,1520,1420
4,2.25,2150,20181,1,0,0,3,1090,1060
4,2.25,2040,12000,1,0,0,4,1300,740
3,1.5,1740,9046,1,0,0,3,1740,0
4,2.5,1900,9428,2,0,0,3,1900,0
3,2.5,1690,10113,1,0,0,3,1310,380
4,1.75,2120,15920,1,0,0,4,1060,1060
3,2.5,1710,12677,2,0,0,3,1710,0
2,2.5,1860,3504,2,0,0,3,1860,0
4,1.75,1500,11600,1,0,0,4,1000,500
3,1,2020,19210,1,0,0,3,1760,260
5,2,2330,10750,1,0,0,4,1190,1140
3,1.5,2100,67269,1,0,0,4,1220,880
4,1.5,2650,34000,2,0,0,4,2650,0
2,1.5,1068,1758,2,0,0,3,1068,0
5,2.5,2270,10700,1,0,0,4,1570,700
3,1.75,2920,21375,1,0,0,3,1850,1070
4,2.25,2070,14000,1,0,0,3,1720,350
3,2,1640,9750,1,0,0,3,1640,0
3,1.75,1400,13775,1,0,0,3,1400,0
3,2.5,2010,7200,2,0,0,3,2010,0
3,2.25,1740,11040,2,0,0,3,1740,0
3,1.5,1490,9630,1,0,0,4,1490,0
3,2.5,1980,4274,2,0,0,3,1980,0
2,2.25,1330,10838,2,0,0,3,1330,0
4,2.5,4060,9734,1,0,4,3,2150,1910
4,2.5,2860,5576,2,0,0,3,2860,0
4,2.5,2800,21370,2,0,0,3,2800,0
5,2,1930,9747,1,0,0,4,1020,910
3,1.75,1710,10800,1,0,0,4,1710,0
3,2,1740,18000,1,0,0,3,1230,510
3,2.5,2820,10208,1,0,1,4,1410,1410
3,1.75,1830,27468,1,0,0,3,1830,0
2,2,1090,1357,2,0,0,3,1090,0
3,2.5,2390,6263,2,0,0,3,2390,0
4,2.5,2590,7910,2,0,0,3,2590,0
4,3,3100,15480,2,0,0,3,2400,700
3,0.75,1040,15000,1,0,0,3,1040,0
3,1,1830,8209,1,0,0,3,1830,0
3,2.5,1820,4883,2,0,0,3,1820,0
3,2.5,2100,6092,2,0,0,3,2100,0
5,2.25,2680,13292,1,0,0,3,1340,1340
4,3,2440,9664,2,0,0,3,1890,550
3,1.75,1320,7200,1,0,0,4,1320,0
5,2.25,3320,13138,1,0,2,4,1900,1420
4,1,1360,13372,1,0,0,3,1360,0
4,2.5,2600,9355,1,0,0,3,1840,760
4,1,2200,12137,1,0,4,4,1640,560
5,3.5,4060,8309,2,0,0,3,2960,1100
3,2.5,1860,3690,2,0,0,3,1860,0
3,1.5,1170,9848,1,0,0,3,1170,0
2,1.5,1068,1158,2,0,0,3,1068,0
4,2.5,2840,6268,2,0,0,3,2840,0
4,2.5,2480,16360,1,0,0,5,1510,970
3,2.5,1990,12793,2,0,0,3,1990,0
4,2.5,2060,10125,2,0,0,4,1560,500
4,2.5,2420,10603,1,0,0,5,1210,1210
4,2.5,2242,37451,2,0,0,3,2242,0
2,1.5,1078,1263,2,0,0,3,1078,0
4,2.5,2590,6394,2,0,0,3,2590,0
4,2.25,1880,9727,1,0,0,3,1100,780
2,1,1380,9251,1,0,0,3,1380,0
3,1.75,1660,8301,1,0,0,5,1660,0
3,1.75,1990,13000,2,0,3,3,1990,0
3,1.5,1340,13560,1,0,0,3,1340,0
3,1,1090,10296,1,0,0,4,1090,0
3,2.25,1830,7943,2,0,0,3,1830,0
4,2.5,2000,5684,2,0,0,3,2000,0
3,2.5,2340,5957,2,0,0,3,2340,0
4,4.75,3700,11000,1,0,0,4,1840,1860
3,2.25,1510,9600,1,0,0,1,1090,420
3,2.25,3010,9600,2,0,0,3,2410,600
2,1,1140,23030,1,0,0,3,1140,0
3,1.5,1590,8911,1,0,0,3,1590,0
3,1.75,1460,7980,1,0,0,3,1460,0
3,2.5,2600,4506,2,0,0,3,2600,0
4,2.75,2950,5803,2,0,0,3,2950,0
3,1,1070,9497,1,0,0,3,1070,0
6,3.25,3870,24700,2,0,0,3,2520,1350
4,2.5,2010,6294,2,0,0,3,2010,0
2,2.25,1640,2128,2,0,0,4,1640,0
3,2.25,1420,6600,1,0,0,3,1160,260
3,2.25,2160,9540,2,0,0,3,2160,0
3,1.75,2300,12682,1,0,2,3,2300,0
3,2.25,1400,11400,2,0,0,3,1400,0
4,2.5,2800,17279,1,0,2,3,1560,1240
2,2.5,1340,5995,2,0,0,3,1340,0
3,1.5,1440,9711,1,0,0,3,1140,300
4,1.75,1970,10358,1,0,0,3,1540,430
4,2,1670,12056,1,0,0,3,1670,0
3,1,1610,11250,1,0,0,3,1090,520
3,1,1720,9605,1,0,0,3,860,860
4,1.75,2340,17541,1,0,0,4,1360,980
3,1.5,1860,9003,1,0,0,3,1490,370
3,2.5,1830,8133,1,0,0,3,1390,440
3,2.25,2010,7447,2,0,0,3,2010,0
3,1.75,2250,11520,1,0,1,3,2250,0
2,1,1280,5728,1.5,0,0,5,1280,0
4,2.5,3290,11446,2,0,0,3,3290,0
3,1.75,1560,8456,1,0,0,5,1560,0
3,2.25,1840,9929,1,0,0,3,1200,640
3,2.5,2630,10131,2,0,0,3,2630,0
4,2.25,2380,17199,2,0,0,3,1530,850
3,2.5,2830,5788,2,0,0,3,2830,0
4,1.75,1970,12409,1,0,0,4,1220,750
4,2.25,3230,9935,2,0,0,3,3230,0
3,1.75,1160,22470,1,0,0,4,1160,0
4,2,2510,9750,1,0,0,3,1630,880
4,1.75,1770,12875,1,0,0,3,1770,0
4,2.75,1680,9545,1,0,0,4,1080,600
4,3,2600,29539,1,0,0,3,2600,0
3,2.25,2520,26943,1,0,0,3,1760,760
3,1.75,1510,9720,1,0,0,3,1510,0
5,2.75,4400,18500,1,0,3,5,2250,2150
3,2.5,2678,6607,2,0,0,3,2678,0
3,1,1190,9000,1,0,0,3,1190,0
3,1,1290,10125,1,0,0,4,1290,0
3,2.25,3370,23065,1,1,4,3,1920,1450
4,2.5,2807,9430,2,0,0,3,2807,0
3,2.5,1300,10484,2,0,0,3,1300,0
3,1,1570,10050,1,0,0,3,1570,0
4,2.5,2360,15008,1,0,0,3,1920,440
3,2.25,1960,44634,1,0,0,3,1130,830
4,1.75,1830,11090,1,0,0,3,1060,770
4,1.75,2520,15205,1,0,0,4,2040,480
3,2.75,2650,9752,1,0,0,3,2650,0
5,1.75,1890,9600,1,0,0,4,1890,0
3,1,1060,10050,1,0,0,4,1060,0
5,2.75,2190,12687,1,0,0,5,1370,820
3,1.75,1270,6017,1,0,0,4,1030,240
3,2.25,1710,11500,1,0,0,3,1210,500
4,1.5,2150,11026,1,0,0,4,2150,0
2,1,720,5820,1,0,1,5,720,0
4,1.75,2180,10200,1,0,2,3,2000,180
2,1.5,1068,1452,2,0,0,3,1068,0
3,2.25,2440,8378,1,0,0,3,1480,960
4,2.5,2300,10880,1,0,0,4,1190,1110
3,1,1520,10798,1,0,0,3,1520,0
4,1,2020,18150,1,0,0,4,2020,0
4,2.5,2030,11375,1,0,0,3,1330,700
3,2,1610,14046,2,0,0,3,1610,0
2,1,960,112384,1,0,0,3,960,0
4,2.75,2140,13000,1,0,0,3,1320,820
2,1.75,950,15219,1,0,0,3,950,0
3,2.5,2550,6677,2,0,0,3,2550,0
5,3.5,2450,8193,2,0,0,3,2450,0
5,1.75,2100,7347,1,0,0,3,1070,1030
3,3,1970,24318,1,0,0,3,1970,0
3,1,1160,10518,1,0,0,3,1160,0
4,1.75,1910,16785,1,0,0,4,1110,800
3,2,2350,12480,1,0,0,3,1600,750
4,2.25,2200,6900,2,0,0,4,2200,0
3,1.5,2380,14500,1,0,0,4,1850,530
5,2.5,2730,17240,1,0,0,5,1660,1070
3,2.25,1820,15000,1,0,0,3,1480,340
4,2,2990,12970,1.5,0,2,4,1960,1030
3,1.5,1690,9144,1,0,0,4,1140,550
3,2.75,2430,14861,1,0,0,3,1530,900
4,2.5,2070,4270,2,0,0,3,2070,0
4,2.5,3700,4500,2,0,0,3,3700,0
3,3,3530,8345,2,0,0,3,3530,0
3,2.5,2280,4557,2,0,0,3,2280,0
3,2.25,1450,4706,2,0,0,3,1450,0
4,2.5,3050,8000,2,0,0,3,3050,0
4,2.75,3650,4534,2,0,0,3,2940,710
4,2.5,2900,4950,2,0,0,3,2900,0
5,2.75,2620,6389,2,0,0,3,2620,0
4,2.5,2040,5616,2,0,0,3,2040,0
4,2.75,2720,4613,2,0,0,3,2720,0
4,2.5,2890,5801,2,0,0,3,2890,0
3,2.25,1490,4522,2,0,0,3,1490,0
4,2.5,1940,4517,1,0,0,3,1190,750
4,2.5,2470,5954,2,0,0,3,2470,0
3,2.5,1530,1116,2.5,0,0,3,1530,0
4,2.5,2820,5612,2,0,0,3,2820,0
4,2.5,2840,4500,2,0,0,3,2840,0
4,2.75,2630,4501,2,0,0,3,2630,0
4,2.75,2990,4521,2,0,0,3,2990,0
4,3,2290,5105,2,0,0,3,2290,0
4,2.5,2470,7539,2,0,0,3,2470,0
